state,id,name,province_code,code
Aceh,wilayah_city_11.05,KAB. ACEH BARAT,11,05
Aceh,wilayah_city_11.12,KAB. ACEH BARAT DAYA,11,12
Aceh,wilayah_city_11.06,KAB. ACEH BESAR,11,06
Aceh,wilayah_city_11.14,KAB. ACEH JAYA,11,14
Aceh,wilayah_city_11.01,KAB. ACEH SELATAN,11,01
Aceh,wilayah_city_11.1,KAB. ACEH SINGKIL,11,1
Aceh,wilayah_city_11.16,KAB. ACEH TAMIANG,11,16
Aceh,wilayah_city_11.04,KAB. ACEH TENGAH,11,04
Aceh,wilayah_city_11.02,KAB. ACEH TENGGARA,11,02
Aceh,wilayah_city_11.03,KAB. ACEH TIMUR,11,03
Aceh,wilayah_city_11.08,KAB. ACEH UTARA,11,08
Aceh,wilayah_city_11.17,KAB. BENER MERIAH,11,17
Aceh,wilayah_city_11.11,KAB. BIREUEN,11,11
Aceh,wilayah_city_11.13,KAB. GAYO LUES,11,13
Aceh,wilayah_city_11.15,KAB. NAGAN RAYA,11,15
Aceh,wilayah_city_11.07,KAB. PIDIE,11,07
Aceh,wilayah_city_11.18,KAB. PIDIE JAYA,11,18
Aceh,wilayah_city_11.09,KAB. SIMEULUE,11,09
Aceh,wilayah_city_11.71,KOTA BANDA ACEH,11,71
Aceh,wilayah_city_11.74,KOTA LANGSA,11,74
Aceh,wilayah_city_11.73,KOTA LHOKSEUMAWE,11,73
Aceh,wilayah_city_11.72,KOTA SABANG,11,72
Aceh,wilayah_city_11.75,KOTA SUBULUSSALAM,11,75
Bali,wilayah_city_51.03,KAB. BADUNG,51,03
Bali,wilayah_city_51.06,KAB. BANGLI,51,06
Bali,wilayah_city_51.08,KAB. BULELENG,51,08
Bali,wilayah_city_51.04,KAB. GIANYAR,51,04
Bali,wilayah_city_51.01,KAB. JEMBRANA,51,01
Bali,wilayah_city_51.07,KAB. KARANGASEM,51,07
Bali,wilayah_city_51.05,KAB. KLUNGKUNG,51,05
Bali,wilayah_city_51.02,KAB. TABANAN,51,02
Bali,wilayah_city_51.71,KOTA DENPASAR,51,71
Banten,wilayah_city_36.02,KAB. LEBAK,36,02
Banten,wilayah_city_36.01,KAB. PANDEGLANG,36,01
Banten,wilayah_city_36.04,KAB. SERANG,36,04
Banten,wilayah_city_36.03,KAB. TANGERANG,36,03
Banten,wilayah_city_36.72,KOTA CILEGON,36,72
Banten,wilayah_city_36.73,KOTA SERANG,36,73
Banten,wilayah_city_36.71,KOTA TANGERANG,36,71
Banten,wilayah_city_36.74,KOTA TANGERANG SELATAN,36,74
Bengkulu,wilayah_city_17.01,KAB. BENGKULU SELATAN,17,01
Bengkulu,wilayah_city_17.09,KAB. BENGKULU TENGAH,17,09
Bengkulu,wilayah_city_17.03,KAB. BENGKULU UTARA,17,03
Bengkulu,wilayah_city_17.04,KAB. KAUR,17,04
Bengkulu,wilayah_city_17.08,KAB. KEPAHIANG,17,08
Bengkulu,wilayah_city_17.07,KAB. LEBONG,17,07
Bengkulu,wilayah_city_17.06,KAB. MUKO MUKO,17,06
Bengkulu,wilayah_city_17.02,KAB. REJANG LEBONG,17,02
Bengkulu,wilayah_city_17.05,KAB. SELUMA,17,05
Bengkulu,wilayah_city_17.71,KOTA BENGKULU,17,71
Yogyakarta,wilayah_city_34.02,KAB. BANTUL,34,02
Yogyakarta,wilayah_city_34.03,KAB. GUNUNGKIDUL,34,03
Yogyakarta,wilayah_city_34.01,KAB. KULON PROGO,34,01
Yogyakarta,wilayah_city_34.04,KAB. SLEMAN,34,04
Yogyakarta,wilayah_city_34.71,KOTA YOGYAKARTA,34,71
Jakarta,wilayah_city_31.01,KAB. ADM. KEP. SERIBU,31,01
Jakarta,wilayah_city_31.73,KOTA ADM. JAKARTA BARAT,31,73
Jakarta,wilayah_city_31.71,KOTA ADM. JAKARTA PUSAT,31,71
Jakarta,wilayah_city_31.74,KOTA ADM. JAKARTA SELATAN,31,74
Jakarta,wilayah_city_31.75,KOTA ADM. JAKARTA TIMUR,31,75
Jakarta,wilayah_city_31.72,KOTA ADM. JAKARTA UTARA,31,72
Gorontalo,wilayah_city_75.02,KAB. BOALEMO,75,02
Gorontalo,wilayah_city_75.03,KAB. BONE BOLANGO,75,03
Gorontalo,wilayah_city_75.01,KAB. GORONTALO,75,01
Gorontalo,wilayah_city_75.05,KAB. GORONTALO UTARA,75,05
Gorontalo,wilayah_city_75.04,KAB. POHUWATO,75,04
Gorontalo,wilayah_city_75.71,KOTA GORONTALO,75,71
Jambi,wilayah_city_15.04,KAB. BATANGHARI,15,04
Jambi,wilayah_city_15.08,KAB. BUNGO,15,08
Jambi,wilayah_city_15.01,KAB. KERINCI,15,01
Jambi,wilayah_city_15.02,KAB. MERANGIN,15,02
