name,kode,kecamatan_id
 Batu Rakit,2012,4
1 Ilir,1007,6
1 Ulu,1002,2
10 Ilir,1003,18
11 Ilir,1004,18
11 Ulu,1001,3
12 Ulu,1002,3
13 Ilir,1003,5
13 Ulu,1003,3
14 Ilir,1004,5
14 Ulu,1004,3
15 Ilir,1005,5
15 Ulu,1003,17
16 Ilir,1002,5
16 Ulu,1005,3
17 Ilir,1006,5
18 Ilir,1001,5
19 Ilir,1001,11
19 Nopember,1001,1
2 Ilir,1008,6
2 Ulu,1003,2
20 Ilir D II,1001,9
20 Ilir D IV,1008,5
20 Ilir D. I,1009,5
20 Ilir D. III,1007,5
22 Ilir,1002,11
23 Ilir,1003,11
24 Ilir,1004,11
26 Ilir,1005,11
26 Ilir D. I,1003,4
27 Ilir,1006,1
28 Ilir,1005,1
29 Ilir,1004,1
3 / 4 Ulu,1004,2
3 Ilir,1006,6
30 Ilir,1003,1
32 Ilir,1002,1
35 Ilir,1001,1
36 Ilir,1003,12
5 Ilir,1005,6
5 Ulu,1005,2
7 Ulu,1006,2
8 Ilir,1001,18
8 Ulu,1001,17
9 Ilir,1002,18
9-10 Ulu,1002,17
A l o,2003,3
A m m a t,2004,10
A u r,1001,15
A. Yani Pura,2006,1
Aan,2008,2
Ababi,2001,5
Abadi Jaya,2004,6
Abadijaya ,1003,5
Abagima,2029,3
Abah Lueng,2038,6
Abai,2001,5
Abai Siat,2005,11
Abail,2007,9
Abaimaida,2002,2
Abak,2002,14
Abamu,2003,24
Abang,2005,5
Abang Batudinding,2022,4
Abangsongan,2020,4
Abar- abir,2011,12
Abason,2015,3
Abat,2001,7
Abatadi,2003,3
Abau,2007,3
Abbajareng,2009,1
Abbanderangnge,2012,10
Abbanuang,2013,16
Abbanuange,2005,3
Abbanuangnge,2015,2
Abbanuangnge,2007,9
Abbatireng,2009,13
Abbokongang,2006,6
Abbumpungeng,2003,3
Abbumpungeng,2008,10
Abean,2005,13
Abeli,1003,6
Abeli Dalam,1005,9
Abelisawah,2004,40
Abena,2001,16
Abenaho,2001,3
Abenggi,2022,5
Abepantai,1011,3
Abepur,2007,14
Abeuk Budi,2013,9
Abeuk Geulanteu,2014,12
Abeuk Jaloh,2027,10
Abeuk Leupon,2019,4
Abeuk Reuling,2002,15
Abeuk Tingkeum,2060,4
Abeuk Usong,2058,4
Abi,2007,18
Abian Tubuh Baru,1005,6
Abian Tuwung,2014,6
Abianbase,1014,2
Abianbase,1005,3
Abiansemal,2008,3
Abiansemal Dauh Yeh Cani,2016,3
Abidon,2001,24
Abili,2006,24
Abimbak,2003,15
Abio Ahiolo,2006,11
Abirau,2023,6
Abit,2011,18
Abmisibil,2002,3
Abo,2043,16
Aboge,2004,6
Abola,2006,5
Aboneri,2006,31
Aboru,2001,13
Abouyaga,2001,6
Aboy,2001,8
Abreso,2007,1
Abu Sakim,2024,3
Abua,2007,13
Abua,2003,37
Abualak,2003,20
Abuan,2003,1
Abuan,2013,4
Abubu,2003,16
Abuhu,2004,25
Abukerom,2011,5
Abuki,1001,10
Abulate,2011,7
Abulosibatang,2006,8
Abulukmo,2009,7
Abumbun Jaya,2021,4
Abung,2008,11
Abung Jayo,2012,7
Abung Surapati,2005,11
Aburage,2002,44
Aburan Batang Tebo,2011,1
Abusa,2004,2
Abusur,2004,7
Abutpuk,2009,21
Acango,2018,1
Aceh,2019,12
Acemo,2014,15
Ad Ngurwul,2017,17
Ad Ohoiwaf,2018,17
Ad Wear Aur,2025,17
Adabai,2012,7
Adabang,2011,2
Adainasnosen,2008,12
Adaka Jaya,2005,17
Adam,2007,16
Adan,2001,2
Adan,2025,4
Adan-adan,2021,10
Adang,1002,2
Adang Beurabo,2041,14
Adang Buom,2019,1
Adang Jaya,2023,6
Adar,2016,11
Adatongeng,1007,14
Adaut,2001,2
Adauwo,2009,9
Adayu Indah,2013,17
Adean,2001,7
Adi Jaya,2004,6
Adi Jaya,2001,7
Adi Jaya,2012,11
Adi Jaya,2007,2
Adi Karya Mulya,2007,6
Adi Luhur,2020,3
Adi Luhur,2001,6
Adi Mulyo,2004,6
Adi Puro,1003,5
Adi Purwa,2014,5
Adian Gupa,2012,4
Adian Jior,2001,1
Adian Koting,2008,3
Adian Nangka,2004,4
Adian Torop,2008,7
Adiarsa,2004,18
Adiarsa Barat,1003,1
Adiarsa Timur,1002,26
Adidharma,2001,21
Adijaya,2012,4
Adikarso,2011,12
Adikarto,2007,15
Adikarto,2005,8
Adil Makmur,2012,8
Adil Makmur,2013,18
Adiluhur,2011,15
Adiluwih,2001,7
Adimulya,2012,15
Adimulyo,2008,15
Adin Tengah,2024,2
Adinuso,2008,4
Adinuso,2020,9
Adipala,2009,3
Adipasir,2005,11
Adipura Kencana,2007,10
Adipuro,2020,13
Adiraja,2012,3
Adireja Kulon,2010,3
Adireja Wetan,2011,3
Adirejo,1023,9
Adirejo,2003,3
Adirejo,2002,4
Adirejo,2003,10
Adisana,2001,5
Adisana,2001,3
Adisara,2006,3
Aditirto,2006,13
Adiwarno,2005,6
Adiwarno,2003,2
Adiwarno,2020,6
Adiwerna,2011,11
Adiwipi,2006,10
Adodo Fordata,2006,6
Adodo Molu,2002,18
Adoh,2001,16
Adoki,2002,11
Adolaba,2002,11
Adolang,2003,2
Adolang Dhua,2012,2
Adolina,2001,2
Adona,2003,21
Adonara,2007,17
Adora,2011,9
Adorbari,2031,3
Adow,2002,4
Adow Selatan,2006,4
Adu,2004,3
Adu,2013,8
Adu manis,2006,14
Aduer,2009,9
Aduwei,2006,1
Ae Ndoko,2023,7
Aebara,2008,17
Aebubu,2020,1
Aedan Raya,2028,4
Aejeti,2001,2
Aek Badak Jae,2023,21
Aek Badak Julu,2024,21
Aek Bamban,2004,21
Aek Bange,2001,32
Aek Banir,2002,1
Aek Bargot,2018,5
Aek Bargot,2009,1
Aek Baru Jae,2028,13
Aek Baru Julu,2029,13
Aek Batang Paya,2113,4
Aek Batu,2006,3
Aek Bayur,2004,10
Aek Bayur,2009,3
Aek Bolon Jae,2024,1
Aek Bolon Julu,2013,1
Aek Bonban,2017,11
Aek Bottar,2008,14
Aek Botung,2022,12
Aek Buaton,2023,11
Aek Buru Selatan,2008,7
Aek Dakka,2009,1
Aek Gambir,2002,19
Aek Gambir,2075,4
Aek Garingging,2001,14
Aek Garut,2014,3
Aek Gerger Sidodadi,2012,30
Aek Godang,2001,9
Aek Godang Arbaan,2011,8
Aek Goti,2010,12
Aek Goti,2003,5
Aek Gunung,2067,7
Aek Guo,2001,13
Aek Habil,1001,3
Aek Haminjon,2034,14
Aek Haruaya,2004,2
Aek Haruaya,2004,6
Aek Haruaya,2015,6
Aek Hitetoras,2017,5
Aek Holbung,2002,13
Aek Horsik,2004,15
Aek Ilung,2025,2
Aek Jabut,2003,1
Aek Jangkang,2077,4
Aek Kahombu,2004,30
Aek Kanan,2037,1
Aek Kanopan,1001,1
Aek Kanopan Timur,1002,1
Aek Korsik,2002,32
Aek Korsik,2001,4
Aek Kota Batu,1001,6
Aek Kundur,2034,1
Aek Lancat,2009,4
Aek Latong,2046,22
Aek Ledong,2003,32
Aek Libung,2018,21
Aek Loba,2013,18
Aek Loba Afd I,2002,18
Aek Loba Pekan,1001,18
Aek Lung,2026,6
Aek Manggis,2003,13
Aek Manis,1002,3
Aek Manyuruk,2002,14
Aek Marian MG,2001,9
Aek Mata,2003,1
Aek Mual,2001,6
Aek Muara Pinang,1003,3
Aek Nabara,2004,7
Aek Nabara,2008,1
Aek Nabara,2032,20
Aek Nabara,2001,3
Aek Nabara,2004,13
Aek Nabara Jae,2002,11
Aek Nabara Julu,2019,11
Aek Nabara Tonga,2001,11
Aek Nabuntu,2005,32
Aek Nadua,2005,16
Aek Nagali,2020,15
Aek Najaji,2013,3
Aek Nangali,2005,13
Aek Natas,2015,6
Aek Natolu Jaya,2018,9
Aek Nauli,2005,7
Aek Nauli,2024,8
Aek Nauli,2003,1
Aek Nauli,2002,9
Aek Nauli,1006,4
Aek Nauli I,2016,12
Aek Nauli I,2008,2
Aek Nauli II,2011,12
Aek Nauli II,2009,2
Aek Nauli III,2017,12
Aek Nauli IV,2023,12
Aek Ngadol Sitinjak,2036,2
Aek Ngali,2001,4
Aek Paing,1010,1
Aek Pancur,2006,2
Aek Pardomuan,2006,31
Aek Parombunan,1004,3
Aek Parupuk,2016,30
Aek Pining,1032,2
Aek Raja,2005,11
Aek Rao TN,2020,2
Aek Raso,2005,10
Aek Raso,2008,3
Aek Sabaon,2035,20
Aek Siala,2021,6
Aek Siala,2003,16
Aek Siansimun,2015,1
Aek Simanap,2032,1
Aek Simotung,1080,5
Aek Sipitudai,2004,6
Aek Sitio-tio,1011,3
Aek Songsongan,2001,21
Aek Sorik,2018,9
Aek Suhat,2031,4
Aek Suhat Jae,2010,2
Aek Suhat TR,2070,2
Aek Sundur,2057,2
Aek Tampang,1006,2
Aek Tanduk,2004,2
