id,name,city_id/id,code
wilayah_district_13.05.04,2 x 11 Enam Lingkuang,wilayah_city_13.05,04
wilayah_district_13.05.15,2 x 11 Kayu Tanam,wilayah_city_13.05,15
wilayah_district_16.12.04,Abab,wilayah_city_16.12,04
wilayah_district_53.05.18,Abad Selatan,wilayah_city_53.05,18
wilayah_district_51.07.05,Abang,wilayah_city_51.07,05
wilayah_district_74.71.06,Abeli,wilayah_city_74.71,06
wilayah_district_95.06.03,Abenaho,wilayah_city_95.06,03
wilayah_district_91.71.03,Abepura,wilayah_city_91.71,03
wilayah_district_51.03.03,Abiansemal,wilayah_city_51.03,03
wilayah_district_95.02.08,Aboy,wilayah_city_95.02,08
wilayah_district_74.02.10,Abuki,wilayah_city_74.02,10
wilayah_district_92.09.06,Abun,wilayah_city_92.09,06
wilayah_district_18.03.06,Abung Barat,wilayah_city_18.03,06
wilayah_district_18.03.22,Abung Kunang,wilayah_city_18.03,22
wilayah_district_18.03.19,Abung Pekurun,wilayah_city_18.03,19
wilayah_district_18.03.07,Abung Selatan,wilayah_city_18.03,07
wilayah_district_18.03.13,Abung Semuli,wilayah_city_18.03,13
wilayah_district_18.03.14,Abung Surakarta,wilayah_city_18.03,14
wilayah_district_18.03.11,Abung Tengah,wilayah_city_18.03,11
wilayah_district_18.03.05,Abung Timur,wilayah_city_18.03,05
wilayah_district_18.03.12,Abung Tinggi,wilayah_city_18.03,12
wilayah_district_12.02.03,Adian Koting,wilayah_city_12.02,03
wilayah_district_18.10.07,Adiluwih,wilayah_city_18.1,07
wilayah_district_33.05.15,Adimulyo,wilayah_city_33.05,15
wilayah_district_33.01.03,Adipala,wilayah_city_33.01,03
wilayah_district_33.28.11,Adiwerna,wilayah_city_33.28,11
wilayah_district_53.06.17,Adonara,wilayah_city_53.06,17
wilayah_district_53.06.08,Adonara Barat,wilayah_city_53.06,08
wilayah_district_53.06.18,Adonara Tengah,wilayah_city_53.06,18
wilayah_district_53.06.10,Adonara Timur,wilayah_city_53.06,10
wilayah_district_12.03.22,Aek Bilah,wilayah_city_12.03,22
wilayah_district_12.09.18,Aek Kuasan,wilayah_city_12.09,18
wilayah_district_12.23.04,Aek Kuo,wilayah_city_12.23,04
wilayah_district_12.09.32,Aek Ledong,wilayah_city_12.09,32
wilayah_district_12.21.11,Aek Nabara Barumun,wilayah_city_12.21,11
wilayah_district_12.23.07,Aek Natas,wilayah_city_12.23,07
wilayah_district_12.09.21,Aek Songsongan,wilayah_city_12.09,21
wilayah_district_74.11.10,Aere,wilayah_city_74.11,10
wilayah_district_71.72.04,Aertembaga,wilayah_city_71.72,04
wilayah_district_53.16.01,Aesesa,wilayah_city_53.16,01
wilayah_district_53.16.07,Aesesa Selatan,wilayah_city_53.16,07
wilayah_district_12.24.09,Afulu,wilayah_city_12.24,09
wilayah_district_94.05.07,Agandugume,wilayah_city_94.05,07
wilayah_district_93.04.01,Agats,wilayah_city_93.04,01
wilayah_district_94.04.02,Agimuga,wilayah_city_94.04,02
wilayah_district_94.07.05,Agisiga,wilayah_city_94.07,05
wilayah_district_32.03.22,Agrabinta,wilayah_city_32.03,22
