id,name,kota_id/id,code
wilayah_kecamatan_13.05.04,2 x 11 Enam Lingkuang,wilayah_kota_13.05,04
wilayah_kecamatan_13.05.15,2 x 11 Kayu Tanam,wilayah_kota_13.05,15
wilayah_kecamatan_16.12.04,Abab,wilayah_kota_16.12,04
wilayah_kecamatan_53.05.18,Abad Selatan,wilayah_kota_53.05,18
wilayah_kecamatan_51.07.05,Abang,wilayah_kota_51.07,05
wilayah_kecamatan_74.71.06,Abeli,wilayah_kota_74.71,06
wilayah_kecamatan_95.06.03,Abenaho,wilayah_kota_95.06,03
wilayah_kecamatan_91.71.03,Abepura,wilayah_kota_91.71,03
wilayah_kecamatan_51.03.03,Abiansemal,wilayah_kota_51.03,03
wilayah_kecamatan_95.02.08,Aboy,wilayah_kota_95.02,08
wilayah_kecamatan_74.02.10,Abuki,wilayah_kota_74.02,10
wilayah_kecamatan_92.09.06,Abun,wilayah_kota_92.09,06
wilayah_kecamatan_18.03.06,Abung Barat,wilayah_kota_18.03,06
wilayah_kecamatan_18.03.22,Abung Kunang,wilayah_kota_18.03,22
wilayah_kecamatan_18.03.19,Abung Pekurun,wilayah_kota_18.03,19
wilayah_kecamatan_18.03.07,Abung Selatan,wilayah_kota_18.03,07
wilayah_kecamatan_18.03.13,Abung Semuli,wilayah_kota_18.03,13
wilayah_kecamatan_18.03.14,Abung Surakarta,wilayah_kota_18.03,14
wilayah_kecamatan_18.03.11,Abung Tengah,wilayah_kota_18.03,11
wilayah_kecamatan_18.03.05,Abung Timur,wilayah_kota_18.03,05
wilayah_kecamatan_18.03.12,Abung Tinggi,wilayah_kota_18.03,12
wilayah_kecamatan_12.02.03,Adian Koting,wilayah_kota_12.02,03
wilayah_kecamatan_18.10.07,Adiluwih,wilayah_kota_18.1,07
wilayah_kecamatan_33.05.15,Adimulyo,wilayah_kota_33.05,15
wilayah_kecamatan_33.01.03,Adipala,wilayah_kota_33.01,03
wilayah_kecamatan_33.28.11,Adiwerna,wilayah_kota_33.28,11
wilayah_kecamatan_53.06.17,Adonara,wilayah_kota_53.06,17
wilayah_kecamatan_53.06.08,Adonara Barat,wilayah_kota_53.06,08
wilayah_kecamatan_53.06.18,Adonara Tengah,wilayah_kota_53.06,18
wilayah_kecamatan_53.06.10,Adonara Timur,wilayah_kota_53.06,10
wilayah_kecamatan_12.03.22,Aek Bilah,wilayah_kota_12.03,22
wilayah_kecamatan_12.09.18,Aek Kuasan,wilayah_kota_12.09,18
wilayah_kecamatan_12.23.04,Aek Kuo,wilayah_kota_12.23,04
wilayah_kecamatan_12.09.32,Aek Ledong,wilayah_kota_12.09,32
wilayah_kecamatan_12.21.11,Aek Nabara Barumun,wilayah_kota_12.21,11
wilayah_kecamatan_12.23.07,Aek Natas,wilayah_kota_12.23,07
wilayah_kecamatan_12.09.21,Aek Songsongan,wilayah_kota_12.09,21
wilayah_kecamatan_74.11.10,Aere,wilayah_kota_74.11,10
wilayah_kecamatan_71.72.04,Aertembaga,wilayah_kota_71.72,04
wilayah_kecamatan_53.16.01,Aesesa,wilayah_kota_53.16,01
wilayah_kecamatan_53.16.07,Aesesa Selatan,wilayah_kota_53.16,07
wilayah_kecamatan_12.24.09,Afulu,wilayah_kota_12.24,09
wilayah_kecamatan_94.05.07,Agandugume,wilayah_kota_94.05,07
wilayah_kecamatan_93.04.01,Agats,wilayah_kota_93.04,01
wilayah_kecamatan_94.04.02,Agimuga,wilayah_kota_94.04,02
wilayah_kecamatan_94.07.05,Agisiga,wilayah_kota_94.07,05
wilayah_kecamatan_32.03.22,Agrabinta,wilayah_kota_32.03,22
wilayah_kecamatan_92.10.01,Aifat,wilayah_kota_92.1,01
wilayah_kecamatan_92.10.04,Aifat Selatan,wilayah_kota_92.1,04
wilayah_kecamatan_92.10.03,Aifat Timur,wilayah_kota_92.1,03
wilayah_kecamatan_92.10.13,Aifat Timur Jauh,wilayah_kota_92.1,13
wilayah_kecamatan_92.10.14,Aifat Timur Selatan,wilayah_kota_92.1,14
wilayah_kecamatan_92.10.12,Aifat Timur Tengah,wilayah_kota_92.1,12
wilayah_kecamatan_92.10.02,Aifat Utara,wilayah_kota_92.1,02
wilayah_kecamatan_52.03.09,Aikmel,wilayah_kota_52.03,09
wilayah_kecamatan_91.06.19,Aimando Padaido,wilayah_kota_91.06,19
wilayah_kecamatan_92.01.07,Aimas,wilayah_kota_92.01,07
wilayah_kecamatan_53.09.01,Aimere,wilayah_kota_53.09,01
wilayah_kecamatan_12.09.13,Air Batu,wilayah_kota_12.09,13
wilayah_kecamatan_61.08.05,Air Besar,wilayah_kota_61.08,05
wilayah_kecamatan_17.03.15,Air Besi,wilayah_kota_17.03,15
